Range_start,Range_end,Mean_range,Timestamp,Time,Mean_power,Min_power,Max_power,Pointing,Trail_length
136.3500054180622,136.65000542998314,136.50000542402267,1756139861.29175,59861.29174995422,45.43235854030552,44.93695000988786,46.13112101641288,0,0.30000001192092896
114.4500045478344,114.90000456571579,114.6750045567751,1756139997.8105,59997.81049990654,49.13311966338484,48.09034203493311,50.27655341319169,0,0.45000001788139343
135.90000540018082,136.20000541210175,136.05000540614128,1756140026.7567499,60026.75674986839,48.26729307057568,46.935598804538415,50.63944769343239,0,0.30000001192092896
12.300000488758087,31.350001245737076,21.82500086724758,1756140116.1755,60116.17549991608,53.08275604248047,39.798213958740234,61.78155517578125,0,19.05000075697899
152.55000606179237,152.8500060737133,152.70000606775284,1756140199.81175,60199.81174993515,42.75727788636368,42.35503196494338,43.51680376527895,0,0.30000001192092896
51.90000206232071,56.70000225305557,54.30000215768814,1756140302.79425,60302.794250011444,50.4781608581543,42.14101791381836,56.93519592285156,0,4.800000190734863
154.65000614523888,180.7500071823597,167.7000066637993,1756140412.60575,60412.60575008392,53.19490051269531,35.769168853759766,61.4931640625,0,26.10000103712082
51.90000206232071,52.3500020802021,52.125002071261406,1756140591.8070002,60591.80700016022,50.37117973336974,47.76439657076949,54.30839076965158,0,0.45000001788139343
91.80000364780426,92.10000365972519,91.95000365376472,1756140591.82075,60591.82074999809,51.10003228009873,47.33927165230416,53.0649579570012,0,0.30000001192092896
69.60000276565552,69.90000277757645,69.75000277161598,1756140531.7132502,60531.71325016022,43.12256539463243,41.92539577314719,44.45136968713304,0,0.30000001192092896
169.95000675320625,170.40000677108765,170.17500676214695,1756140695.80825,60695.80824995041,49.356072746064186,47.834390358240945,51.4857489361814,0,0.45000001788139343
86.550003439188,86.85000345110893,86.70000344514847,1756140807.80075,60807.800750017166,44.51188029172599,43.51680376527895,45.422650870725256,0,0.30000001192092896
30.750001221895218,85.05000337958336,57.90000230073929,1756140987.41825,60987.41825008392,48.52203369140625,30.060379028320312,59.979942321777344,0,54.30000215768814
174.90000694990158,180.90000718832016,177.90000706911087,1756141277.82525,61277.825249910355,52.596168518066406,40.57551956176758,58.450836181640625,0,6.000000238418579
11.250000447034836,50.400002002716064,30.82500122487545,1756141277.8265,61277.826499938965,42.15353775024414,16.627578735351562,58.01677322387695,0,39.15000155568123
152.25000604987144,152.70000606775284,152.47500605881214,1756141457.81975,61457.81975007057,46.85289494715897,43.28705711568874,49.2454805184604,0,0.45000001788139343
130.35000517964363,135.00000536441803,132.67500527203083,1756141457.83475,61457.83474993706,53.411651611328125,43.12050247192383,59.690086364746094,0,4.650000184774399
12.150000482797623,24.900000989437103,18.525000736117363,1756141541.26725,61541.267250061035,46.40949630737305,30.7445068359375,57.347442626953125,0,12.75000050663948
130.5000051856041,159.6000063419342,145.05000576376915,1756141569.4285,61569.42849993706,51.888851165771484,40.40839767456055,60.98908996582031,0,29.10000115633011
34.80000138282776,35.10000139474869,34.95000138878822,1756141618.1169999,61618.11699986458,47.49057949616493,45.61375713830891,48.62650075207894,0,0.30000001192092896
140.2500055730343,174.60000693798065,157.42500625550747,1756141624.2045,61624.204499959946,43.6611328125,13.617278099060059,58.980682373046875,0,34.350001364946365
37.350001484155655,37.80000150203705,37.57500149309635,1756141673.86825,61673.86824989319,45.31421366763691,44.39806211393331,46.06832624848885,0,0.45000001788139343
106.80000424385071,107.10000425577164,106.95000424981117,1756141753.842,61753.84200000763,54.467641581730454,53.24702139058164,55.414382001366334,0,0.30000001192092896
31.350001245737076,31.650001257658005,31.50000125169754,1756141774.4667501,61774.46675014496,51.452275255124334,50.02196310069995,52.49323122671196,0,0.30000001192092896
177.00000703334808,177.300007045269,177.15000703930855,1756141783.3095,61783.30949997902,49.41250330898427,44.12863573812828,54.321592417439604,0,0.30000001192092896
66.3000026345253,92.10000365972519,79.20000314712524,1756142171.8215,62171.82150006294,51.46767044067383,36.087398529052734,60.25180435180664,0,25.80000102519989
