Range,Timestamp,Time,Power,Trail_length
136.3500054180622,1756139861.29175,59861.29174995422,45.22900459461582,0.30000001192092896
136.50000542402267,1756139861.29175,59861.29174995422,46.13112101641288,0.30000001192092896
136.65000542998314,1756139861.29175,59861.29174995422,44.93695000988786,0.30000001192092896
114.4500045478344,1756139997.8105,59997.81049990654,50.27655341319169,0.45000001788139343
114.60000455379486,1756139997.8105,59997.81049990654,49.50554694994642,0.45000001788139343
114.75000455975533,1756139997.8105,59997.81049990654,48.09034203493311,0.45000001788139343
114.90000456571579,1756139997.8105,59997.81049990654,48.66003625546813,0.45000001788139343
135.90000540018082,1756140026.7567499,60026.75674986839,46.935598804538415,0.30000001192092896
136.05000540614128,1756140026.7567499,60026.75674986839,50.63944769343239,0.30000001192092896
136.20000541210175,1756140026.7567499,60026.75674986839,47.22683271375625,0.30000001192092896
12.300000488758087,1756140116.1755,60116.17549991608,50.52486038208008,19.05000075697899
12.450000494718552,1756140116.1755,60116.17549991608,47.57752990722656,19.05000075697899
12.600000500679016,1756140116.1755,60116.17549991608,53.13268280029297,19.05000075697899
12.75000050663948,1756140116.1755,60116.17549991608,54.507957458496094,19.05000075697899
12.900000512599945,1756140116.1755,60116.17549991608,53.942535400390625,19.05000075697899
13.05000051856041,1756140116.1755,60116.17549991608,56.36065673828125,19.05000075697899
13.200000524520874,1756140116.1755,60116.17549991608,57.33429718017578,19.05000075697899
13.350000530481339,1756140116.1755,60116.17549991608,58.18942642211914,19.05000075697899
13.500000536441803,1756140116.1755,60116.17549991608,53.863792419433594,19.05000075697899
13.650000542402267,1756140116.1755,60116.17549991608,49.60237503051758,19.05000075697899
13.800000548362732,1756140116.1755,60116.17549991608,58.008785247802734,19.05000075697899
13.950000554323196,1756140116.1755,60116.17549991608,50.79051208496094,19.05000075697899
14.100000560283661,1756140116.1755,60116.17549991608,52.425289154052734,19.05000075697899
14.250000566244125,1756140116.1755,60116.17549991608,57.046714782714844,19.05000075697899
14.40000057220459,1756140116.1755,60116.17549991608,52.268653869628906,19.05000075697899
14.550000578165054,1756140116.1755,60116.17549991608,55.86420440673828,19.05000075697899
14.700000584125519,1756140116.1755,60116.17549991608,54.881385803222656,19.05000075697899
14.850000590085983,1756140116.1755,60116.17549991608,54.434226989746094,19.05000075697899
15.000000596046448,1756140116.1755,60116.17549991608,59.27106857299805,19.05000075697899
15.150000602006912,1756140116.1755,60116.17549991608,50.59892654418945,19.05000075697899
15.300000607967377,1756140116.1755,60116.17549991608,49.59794998168945,19.05000075697899
15.450000613927841,1756140116.1755,60116.17549991608,55.09651184082031,19.05000075697899
15.600000619888306,1756140116.1755,60116.17549991608,52.405845642089844,19.05000075697899
15.75000062584877,1756140116.1755,60116.17549991608,54.08665466308594,19.05000075697899
15.900000631809235,1756140116.1755,60116.17549991608,54.93576431274414,19.05000075697899
16.0500006377697,1756140116.1755,60116.17549991608,54.67030334472656,19.05000075697899
16.200000643730164,1756140116.1755,60116.17549991608,55.69204330444336,19.05000075697899
16.350000649690628,1756140116.1755,60116.17549991608,57.51182174682617,19.05000075697899
16.500000655651093,1756140116.1755,60116.17549991608,46.209163665771484,19.05000075697899
16.650000661611557,1756140116.1755,60116.17549991608,45.28221893310547,19.05000075697899
16.80000066757202,1756140116.1755,60116.17549991608,50.936004638671875,19.05000075697899
16.950000673532486,1756140116.1755,60116.17549991608,58.15786361694336,19.05000075697899
17.10000067949295,1756140116.1755,60116.17549991608,53.792327880859375,19.05000075697899
17.250000685453415,1756140116.1755,60116.17549991608,55.346187591552734,19.05000075697899
17.40000069141388,1756140116.1755,60116.17549991608,51.2692985534668,19.05000075697899
17.550000697374344,1756140116.1755,60116.17549991608,49.70630645751953,19.05000075697899
17.70000070333481,1756140116.1755,60116.17549991608,48.8350830078125,19.05000075697899
17.850000709295273,1756140116.1755,60116.17549991608,55.40113067626953,19.05000075697899
18.000000715255737,1756140116.1755,60116.17549991608,49.599281311035156,19.05000075697899
18.150000721216202,1756140116.1755,60116.17549991608,51.403411865234375,19.05000075697899
18.300000727176666,1756140116.1755,60116.17549991608,47.536827087402344,19.05000075697899
18.45000073313713,1756140116.1755,60116.17549991608,51.60068893432617,19.05000075697899
18.600000739097595,1756140116.1755,60116.17549991608,58.141082763671875,19.05000075697899
18.75000074505806,1756140116.1755,60116.17549991608,58.21868896484375,19.05000075697899
18.900000751018524,1756140116.1755,60116.17549991608,52.48948669433594,19.05000075697899
19.05000075697899,1756140116.1755,60116.17549991608,48.5951042175293,19.05000075697899
19.200000762939453,1756140116.1755,60116.17549991608,54.14060592651367,19.05000075697899
19.350000768899918,1756140116.1755,60116.17549991608,59.66728591918945,19.05000075697899
19.500000774860382,1756140116.1755,60116.17549991608,46.44379425048828,19.05000075697899
19.650000780820847,1756140116.1755,60116.17549991608,57.5718879699707,19.05000075697899
19.80000078678131,1756140116.1755,60116.17549991608,56.473106384277344,19.05000075697899
19.950000792741776,1756140116.1755,60116.17549991608,49.30107879638672,19.05000075697899
20.10000079870224,1756140116.1755,60116.17549991608,55.35524368286133,19.05000075697899
20.250000804662704,1756140116.1755,60116.17549991608,53.90438461303711,19.05000075697899
20.40000081062317,1756140116.1755,60116.17549991608,51.54259490966797,19.05000075697899
20.550000816583633,1756140116.1755,60116.17549991608,59.9178352355957,19.05000075697899
